"ID","DOSE","value"
"1",0,153
"2",0,134.2
"3",0,139
"4",0,124.2
"5",0,157.4
"6",0,128.8
"7",0,140.1
"8",0,134.1
"9",0,129.1
"10",0,135.3
"11",1,124.6
"12",1,129.5
"13",1,138.9
"14",1,124
"15",1,124.6
"16",1,124
"17",1,135.4
"18",1,129
"19",1,118.5
"20",1,136.3
"21",2,140.1
"22",2,141.3
"23",2,122.8
"24",2,143.1
"25",2,116.4
"26",2,117.5
"27",2,136.5
"28",2,130.9
"29",2,126.2
"30",2,139.2
"31",3,115.7
"32",3,115.6
"33",3,118.6
"34",3,121.2
"35",3,131.7
"36",3,109.8
"37",3,133.8
"38",3,118.6
"39",3,132.9
"40",3,120.6
